5.24 225.10 0.69
5.74 233.53 0.68 
6.25 234.3 0.62 
6.77 233.17 0.60 
7.23 236.19 0.45 
7.83 236.00 0.29 
8.21 233.19 0.26 
8.78 233.15 0.22 
9.26 232.15 0.17 
9.75 231.24 0.16 
10.25 230.34 0.17 
10.75 230.54 0.18 
11.25 229.11 0.19 
11.75 227.48 0.20 
12.24 226.69 0.25 
12.74 225.56 0.27 
13.25 224.90 0.27 
13.74 223.57 0.31 
14.23 221.10 0.40 
14.74 220.19 0.43 
15.23 219.59 0.50 
15.74 217.36 0.68 
16.24 216.61 0.74 
16.74 217.28 0.87 
17.23 216.25 1.02 
17.74 213.81 1.15 
18.35 217.53 1.45 
18.90 212.10 1.58 
19.50 210.46 1.32 
20.41 206.69 1.71 
21.28 207.71 1.69 
22.39 203.72 2.01 
23.16 205.20 2.50 
24.00 200.64 4.94
